API endpoint : https://api.tokenfactory.us-central1.nebius.com/v1
Model        : MiniMaxAI/MiniMax-M2.5-fast
API key set  : yes
Task suite   : 1 × 200-turn boards

============================================================
PURPLE AGENT: Random
============================================================

--- Evaluating: Random (1 tasks) ---
  [ep_0         standard] reward=  -4.21 coins= 4 dues=2 fouls=3 won=✗ icf=0.97

=== Random (1 tasks) ===
  Avg reward     : -4.210
  Win rate       : 0.00
  Avg coins      : 4.0
  Avg dues       : 2.00   (ICF violations)
  Avg fouls      : 3.00
  ICF compliance : 0.975
  Sim steps      : 10862
  Efficiency     : 0.3683 coins/1k-steps

============================================================
PURPLE AGENT: Heuristic (ICF-aware)
============================================================

--- Evaluating: Heuristic (1 tasks) ---
  [ep_0         standard] reward=  -6.31 coins= 4 dues=0 fouls=0 won=✗ icf=1.00

=== Heuristic (1 tasks) ===
  Avg reward     : -6.310
  Win rate       : 0.00
  Avg coins      : 4.0
  Avg dues       : 0.00   (ICF violations)
  Avg fouls      : 0.00
  ICF compliance : 1.000
  Sim steps      : 11877
  Efficiency     : 0.3368 coins/1k-steps

============================================================
PURPLE AGENT: LLM (MiniMaxAI/MiniMax-M2.5-fast)
============================================================

--- Evaluating: LLM (MiniMaxAI/MiniMax-M2.5-fast) (1 tasks) ---
  [shot   1] px=+0.07 angle=+0.79 force=0.60   (score 0-0, coins left 19)
  [shot   2] px=-0.10 angle=-0.35 force=0.50   (score 0-0, coins left 19)
  [shot   3] px=-0.10 angle=+0.95 force=0.70   (score 0-0, coins left 19)
  [shot   4] px=+0.15 angle=+0.70 force=0.50   (score 0-0, coins left 19)
  [shot   5] px=-0.15 angle=-0.45 force=0.50   (score 0-0, coins left 19)
  [shot   6] px=-0.15 angle=+0.55 force=0.65   (score 0-0, coins left 19)
  [shot   7] px=+0.33 angle=-0.95 force=0.50   (score 0-0, coins left 19)
  [shot   8] px=-0.35 angle=-0.52 force=0.45   (score 0-0, coins left 19)
  [shot   9] px=-0.15 angle=-1.35 force=0.35   (score 0-0, coins left 19)
  [shot  10] px=-0.15 angle=+0.60 force=0.55   (score 1-0, coins left 18)
  [shot  11] px=+0.35 angle=+0.90 force=0.60   (score 1-0, coins left 18)
  [shot  12] px=-0.15 angle=-0.90 force=0.65   (score 1-0, coins left 18)
  [shot  13] px=+0.25 angle=+0.00 force=0.60   (score 1-0, coins left 18)
  [shot  14] px=+0.25 angle=+0.45 force=0.70   (score 1-0, coins left 18)
  [shot  15] px=+0.25 angle=+0.45 force=0.60   (score 1-0, coins left 18)
  [shot  16] px=+0.30 angle=+0.79 force=0.50   (score 1-0, coins left 18)
  [shot  17] px=+0.30 angle=+0.79 force=0.40   (score 1-0, coins left 18)
  [shot  18] px=+0.30 angle=+0.00 force=0.40   (score 1-0, coins left 18)
  [shot  19] px=-0.15 angle=+0.45 force=0.50   (score 1-0, coins left 18)
  [shot  20] px=+0.30 angle=+0.00 force=0.50   (score 1-1, coins left 17)
  [shot  21] px=+0.25 angle=+0.90 force=0.45   (score 1-1, coins left 17)
  [shot  22] px=+0.20 angle=+0.65 force=0.45   (score 2-1, coins left 16)
  [shot  23] px=-0.35 angle=+0.95 force=0.45   (score 2--1, coins left 17)
  [shot  24] px=-0.35 angle=+0.35 force=0.60   (score 2--1, coins left 17)
  [shot  25] px=-0.35 angle=+0.15 force=0.60   (score 2--1, coins left 17)
